task_uid,assigned_resource_ids,task_start,task_end,resource_intervals,planned_task_start,planned_task_end
WO129599-10,[106],10770.0,10800.0,"[[[10770.0,10800.0]]]",2024-09-04 11:30:00,2024-09-04 12:00:00
WO129600-10,[106],10800.0,10830.0,"[[[10800.0,10830.0]]]",2024-09-04 12:00:00,2024-09-04 12:30:00
WO129602-10,[106],10620.0,10650.0,"[[[10620.0,10650.0]]]",2024-09-04 09:00:00,2024-09-04 09:30:00
WO129617-10,[106],10890.0,10920.0,"[[[10890.0,10920.0]]]",2024-09-04 13:30:00,2024-09-04 14:00:00
WO129618-10,[106],10830.0,10860.0,"[[[10830.0,10860.0]]]",2024-09-04 12:30:00,2024-09-04 13:00:00
WO129619-10,[106],10860.0,10890.0,"[[[10860.0,10890.0]]]",2024-09-04 13:00:00,2024-09-04 13:30:00
WO129641-10,[270],1950.0,1980.0,"[[[1950.0,1980.0]]]",2024-08-29 08:30:00,2024-08-29 09:00:00
WO129644-10,[101],1947.79,2007.79,"[[[1947.79,2007.79]]]",2024-08-29 08:27:47.4,2024-08-29 09:27:47.4
WO129683-10,[36],142950.0,149170.0,"[[[142950.0,143475.0],[144390.0,144705.0],[148710.0,149170.0]]]",2024-12-05 06:30:00,2024-12-09 14:10:00
WO129684-10,[131],42150.0,60975.0,"[[[42150.0,42795.0],[43590.0,44235.0],[45030.0,45675.0],[47910.0,48555.0],[49350.0,49995.0],[50790.0,51435.0],[52230.0,52875.0],[53670.0,54315.0],[55110.0,55755.0],[57990.0,58635.0],[59430.0,60075.0],[60870.0,60975.0]]]",2024-09-26 06:30:00,2024-10-09 08:15:00
WO129684-20,[93],61330.0,62445.0,"[[[61330.0,61395.0],[62310.0,62445.0]]]",2024-10-09 14:10:00,2024-10-10 08:45:00
WO129685-10,[38],32577.0,39454.0,"[[[32577.0,32595.0],[33510.0,33825.0],[37830.0,38355.0],[39270.0,39454.0]]]",2024-09-19 14:57:00,2024-09-24 09:34:00
WO129686-10,[38],32070.0,32577.0,"[[[32070.0,32577.0]]]",2024-09-19 06:30:00,2024-09-19 14:57:00
WO129688-10,[223],27750.0,28110.0,"[[[27750.0,28110.0]]]",2024-09-16 06:30:00,2024-09-16 12:30:00
WO129703-10,[244],9115.94,9269.94,"[[[9115.94,9269.94]]]",2024-09-03 07:55:56.4,2024-09-03 10:29:56.4
WO129714-10,[196],19303.0,19482.46,"[[[19303.0,19482.46]]]",2024-09-10 09:43:00,2024-09-10 12:42:27.6
WO129715-10,[150],29508.0,29688.0,"[[[29508.0,29688.0]]]",2024-09-17 11:48:00,2024-09-17 14:48:00
WO129726-20,[98],9402.0,9462.0,"[[[9402.0,9462.0]]]",2024-09-03 12:42:00,2024-09-03 13:42:00
WO129727-20,[98],10470.0,10530.0,"[[[10470.0,10530.0]]]",2024-09-04 06:30:00,2024-09-04 07:30:00
WO129728-20,[98],9462.0,9522.0,"[[[9462.0,9522.0]]]",2024-09-03 13:42:00,2024-09-03 14:42:00
WO129729-20,[98],9247.0,9307.0,"[[[9247.0,9307.0]]]",2024-09-03 10:07:00,2024-09-03 11:07:00
WO129738-20,[98],10530.0,10674.0,"[[[10530.0,10674.0]]]",2024-09-04 07:30:00,2024-09-04 09:54:00
WO129741-20,[98],9307.0,9402.0,"[[[9307.0,9402.0]]]",2024-09-03 11:07:00,2024-09-03 12:42:00
WO129757-10,[62],25355.0,25475.0,"[[[25355.0,25475.0]]]",2024-09-14 14:35:00,2024-09-14 16:35:00
WO129758-10,[103],9390.0,9510.0,"[[[9390.0,9510.0]]]",2024-09-03 12:30:00,2024-09-03 14:30:00
WO129759-10,[106],39510.0,40745.0,"[[[39510.0,39795.0],[40710.0,40745.0]]]",2024-09-24 10:30:00,2024-09-25 07:05:00
WO129759-20,[98],40745.0,40777.0,"[[[40745.0,40777.0]]]",2024-09-25 07:05:00,2024-09-25 07:37:00
WO129818-10,[271],390.0,420.0,"[[[390.0,420.0]]]",2024-08-28 06:30:00,2024-08-28 07:00:00
WO129818-20,[186],540.0,9045.0,"[[[540.0,915.0],[1830.0,2355.0],[3270.0,3585.0],[7590.0,8115.0],[9030.0,9045.0]]]",2024-08-28 09:00:00,2024-09-03 06:45:00
WO129818-30,[191],9045.0,9173.0,"[[[9045.0,9173.0]]]",2024-09-03 06:45:00,2024-09-03 08:53:00
WO129822-10,[101],12369.93,12399.8,"[[[12369.93,12399.8]]]",2024-09-05 14:09:55.8,2024-09-05 14:39:48
WO129824-10,[79],37830.0,39435.0,"[[[37830.0,38355.0],[39270.0,39435.0]]]",2024-09-23 06:30:00,2024-09-24 09:15:00
WO129880-10,[36],23506.0,23674.0,"[[[23506.0,23674.0]]]",2024-09-13 07:46:00,2024-09-13 10:34:00
WO129881-10,[243],11085.0,13538.0,"[[[11085.0,11115.0],[11910.0,12555.0],[13350.0,13538.0]]]",2024-09-04 16:45:00,2024-09-06 09:38:00
WO129881-20,[93],17670.0,17700.0,"[[[17670.0,17700.0]]]",2024-09-09 06:30:00,2024-09-09 07:00:00
WO129883-20,[98],10902.0,10965.0,"[[[10902.0,10965.0]]]",2024-09-04 13:42:00,2024-09-04 14:45:00
WO129884-20,[98],10829.0,10872.0,"[[[10829.0,10872.0]]]",2024-09-04 12:29:00,2024-09-04 13:12:00
WO129886-20,[98],9522.0,9552.0,"[[[9522.0,9552.0]]]",2024-09-03 14:42:00,2024-09-03 15:12:00
WO129887-20,[98],10872.0,10902.0,"[[[10872.0,10902.0]]]",2024-09-04 13:12:00,2024-09-04 13:42:00
WO129888-10,[174],13350.0,19562.0,"[[[13350.0,13995.0],[14790.0,15435.0],[17670.0,18315.0],[19110.0,19562.0]]]",2024-09-06 06:30:00,2024-09-10 14:02:00
WO129888-20,[93],19562.0,19602.0,"[[[19562.0,19602.0]]]",2024-09-10 14:02:00,2024-09-10 14:42:00
WO129889-10,[262],823.0,2352.0,"[[[823.0,915.0],[1830.0,2352.0]]]",2024-08-28 13:43:00,2024-08-29 15:12:00
WO129894-10,[174],10829.0,11068.0,"[[[10829.0,11068.0]]]",2024-09-04 12:29:00,2024-09-04 16:28:00
WO129894-20,[93],12190.0,12220.0,"[[[12190.0,12220.0]]]",2024-09-05 11:10:00,2024-09-05 11:40:00
WO129895-20,[98],10674.0,10829.0,"[[[10674.0,10829.0]]]",2024-09-04 09:54:00,2024-09-04 12:29:00
WO129897-20,[15],3501.0,3572.0,"[[[3501.0,3572.0]]]",2024-08-30 10:21:00,2024-08-30 11:32:00
WO129902-20,[78],390.0,602.0,"[[[390.0,602.0]]]",2024-08-28 06:30:00,2024-08-28 10:02:00
WO129903-10,[107],18028.0,22227.0,"[[[18028.0,18195.0],[19110.0,19635.0],[20550.0,21075.0],[21990.0,22227.0]]]",2024-09-09 12:28:00,2024-09-12 10:27:00
WO129905-10,[101],12429.8,13384.8,"[[[12429.8,12435.0],[13350.0,13384.8]]]",2024-09-05 15:09:48,2024-09-06 07:04:48
WO129906-10,[270],12391.0,12421.0,"[[[12391.0,12421.0]]]",2024-09-05 14:31:00,2024-09-05 15:01:00
WO129907-10,[101],12399.8,12429.8,"[[[12399.8,12429.8]]]",2024-09-05 14:39:48,2024-09-05 15:09:48
WO129908-10,[270],12421.0,13366.0,"[[[12421.0,12435.0],[13350.0,13366.0]]]",2024-09-05 15:01:00,2024-09-06 06:46:00
WO129923-10,[101],18160.0,18190.0,"[[[18160.0,18190.0]]]",2024-09-09 14:40:00,2024-09-09 15:10:00
WO129951-10,[173],22017.0,22047.0,"[[[22017.0,22047.0]]]",2024-09-12 06:57:00,2024-09-12 07:27:00
WO129952-10,[244],708.51,738.51,"[[[708.51,738.51]]]",2024-08-28 11:48:30.6,2024-08-28 12:18:30.6
WO129953-10,[150],19110.0,22017.0,"[[[19110.0,19635.0],[20550.0,21075.0],[21990.0,22017.0]]]",2024-09-10 06:30:00,2024-09-12 06:57:00
WO129954-10,[103],12061.0,12361.0,"[[[12061.0,12361.0]]]",2024-09-05 09:01:00,2024-09-05 14:01:00
WO129955-10,[38],12173.0,12353.0,"[[[12173.0,12353.0]]]",2024-09-05 10:53:00,2024-09-05 13:53:00
WO129956-10,[150],12076.0,12256.0,"[[[12076.0,12256.0]]]",2024-09-05 09:16:00,2024-09-05 12:16:00
WO129957-10,[106],11985.0,12015.0,"[[[11985.0,12015.0]]]",2024-09-05 07:45:00,2024-09-05 08:15:00
WO129958-10,[106],11955.0,11985.0,"[[[11955.0,11985.0]]]",2024-09-05 07:15:00,2024-09-05 07:45:00
WO129959-10,[106],12015.0,12045.0,"[[[12015.0,12045.0]]]",2024-09-05 08:15:00,2024-09-05 08:45:00
WO129960-10,[106],12105.0,12135.0,"[[[12105.0,12135.0]]]",2024-09-05 09:45:00,2024-09-05 10:15:00
WO129961-10,[106],12075.0,12105.0,"[[[12075.0,12105.0]]]",2024-09-05 09:15:00,2024-09-05 09:45:00
WO129962-10,[106],12045.0,12075.0,"[[[12045.0,12075.0]]]",2024-09-05 08:45:00,2024-09-05 09:15:00
WO129963-10,[106],11925.0,11955.0,"[[[11925.0,11955.0]]]",2024-09-05 06:45:00,2024-09-05 07:15:00
WO129965-10,[106],10980.0,11925.0,"[[[10980.0,10995.0],[11910.0,11925.0]]]",2024-09-04 15:00:00,2024-09-05 06:45:00
WO129967-10,[62],10980.0,11009.89,"[[[10980.0,11009.89]]]",2024-09-04 15:00:00,2024-09-04 15:29:53.4
WO129971-10,[106],10950.0,10980.0,"[[[10950.0,10980.0]]]",2024-09-04 14:30:00,2024-09-04 15:00:00
WO130089-10,[123],630.0,1948.0,"[[[630.0,915.0],[1830.0,1948.0]]]",2024-08-28 10:30:00,2024-08-29 08:28:00
WO130105-10,[123],390.0,630.0,"[[[390.0,630.0]]]",2024-08-28 06:30:00,2024-08-28 10:30:00
WO130273-10,[36],354630.0,362265.0,"[[[354630.0,355155.0],[356070.0,356385.0],[360390.0,360915.0],[361830.0,362265.0]]]",2025-05-01 06:30:00,2025-05-06 13:45:00
WO130274-10,"[201,42,268,151,190]",53670.0,58358.75,"[[[53670.0,54315.0],[55110.0,55755.0],[57990.0,58358.75]],[[53670.0,53985.0],[57990.0,58358.75]],[[53670.0,53985.0],[57990.0,58358.75]],[[53670.0,53985.0],[57990.0,58358.75]],[[53670.0,54315.0],[55110.0,55755.0],[57990.0,58358.75]]]",2024-10-04 06:30:00,2024-10-07 12:38:45
WO130274-30,[180],390.0,10800.0,"[[[390.0,1035.0],[1830.0,2475.0],[3270.0,3915.0],[4710.0,5355.0],[7590.0,8235.0],[9030.0,9675.0],[10470.0,10800.0]]]",2024-08-28 06:30:00,2024-09-04 12:00:00
WO130275-10,[106],91305.0,91335.0,"[[[91305.0,91335.0]]]",2024-10-30 09:45:00,2024-10-30 10:15:00
WO130275-20,[187],92597.0,92837.0,"[[[92597.0,92837.0]]]",2024-10-31 07:17:00,2024-10-31 11:17:00
WO130278-10,[244],69780.0,69810.0,"[[[69780.0,69810.0]]]",2024-10-15 11:00:00,2024-10-15 11:30:00
WO130279-10,[30],92597.0,92627.0,"[[[92597.0,92627.0]]]",2024-10-31 07:17:00,2024-10-31 07:47:00
WO130280-10,[106],91275.0,91305.0,"[[[91275.0,91305.0]]]",2024-10-30 09:15:00,2024-10-30 09:45:00
WO130280-20,[187],91442.0,92597.0,"[[[91442.0,91635.0],[92550.0,92597.0]]]",2024-10-30 12:02:00,2024-10-31 07:17:00
WO130282-10,[62],99750.0,106155.0,"[[[99750.0,100395.0],[101190.0,101835.0],[102630.0,103275.0],[104070.0,104715.0],[105510.0,106155.0]]]",2024-11-05 06:30:00,2024-11-09 17:15:00
WO130282-30,[114],4310.0,4341.0,"[[[4310.0,4319.0],[4320.0,4341.0]]]",2024-08-30 23:50:00,2024-08-31 00:21:00
WO130282-40,[114],4341.0,4371.0,"[[[4341.0,4371.0]]]",2024-08-31 00:21:00,2024-08-31 00:51:00
WO130282-50,[66],29190.0,40770.0,"[[[29190.0,29715.0],[30630.0,31155.0],[32070.0,32595.0],[33510.0,33825.0],[37830.0,38355.0],[39270.0,39795.0],[40710.0,40770.0]]]",2024-09-17 06:30:00,2024-09-25 07:30:00
WO130282-60,[79],47910.0,49625.0,"[[[47910.0,48435.0],[49350.0,49625.0]]]",2024-09-30 06:30:00,2024-10-01 11:05:00
WO130287-10,[128],17670.0,19440.0,"[[[17670.0,18315.0],[19110.0,19440.0]]]",2024-09-09 06:30:00,2024-09-10 12:00:00
WO130287-20,[15],20550.0,20940.0,"[[[20550.0,20940.0]]]",2024-09-11 06:30:00,2024-09-11 13:00:00
WO130287-30,[51],21990.0,30755.0,"[[[21990.0,22515.0],[23430.0,23745.0],[27750.0,28275.0],[29190.0,29715.0],[30630.0,30755.0]]]",2024-09-12 06:30:00,2024-09-18 08:35:00
WO130288-10,[128],14925.0,15245.0,"[[[14925.0,15245.0]]]",2024-09-07 08:45:00,2024-09-07 14:05:00
WO130288-20,[15],17914.0,18042.0,"[[[17914.0,18042.0]]]",2024-09-09 10:34:00,2024-09-09 12:42:00
WO130289-10,[73],12810.0,15310.0,"[[[12810.0,12870.0],[13350.0,13650.0],[14670.0,15310.0]]]",2024-09-05 21:30:00,2024-09-07 15:10:00
WO130290-10,[106],92550.0,94105.0,"[[[92550.0,93075.0],[93990.0,94105.0]]]",2024-10-31 06:30:00,2024-11-01 08:25:00
WO130290-20,[187],98310.0,98758.0,"[[[98310.0,98758.0]]]",2024-11-04 06:30:00,2024-11-04 13:58:00
WO130291-10,[128],15275.0,15345.0,"[[[15275.0,15345.0]]]",2024-09-07 14:35:00,2024-09-07 15:45:00
WO130292-10,[187],50790.0,52425.0,"[[[50790.0,51315.0],[52230.0,52425.0]]]",2024-10-02 06:30:00,2024-10-03 09:45:00
WO130293-10,[23],39695.0,39725.0,"[[[39695.0,39725.0]]]",2024-09-24 13:35:00,2024-09-24 14:05:00
WO130294-10,[196],39699.0,39729.0,"[[[39699.0,39729.0]]]",2024-09-24 13:39:00,2024-09-24 14:09:00
WO130297-10,[128],15245.0,15275.0,"[[[15245.0,15275.0]]]",2024-09-07 14:05:00,2024-09-07 14:35:00
WO130303-10,[19],370470.0,405210.0,"[[[370470.0,370995.0],[371910.0,372435.0],[373350.0,373875.0],[374790.0,375315.0],[376230.0,376545.0],[380550.0,381075.0],[381990.0,382515.0],[383430.0,383955.0],[384870.0,385395.0],[386310.0,386625.0],[390630.0,391155.0],[392070.0,392595.0],[393510.0,394035.0],[394950.0,395475.0],[396390.0,396705.0],[400710.0,401235.0],[402150.0,402675.0],[403590.0,404115.0],[405030.0,405210.0]]]",2025-05-12 06:30:00,2025-06-05 09:30:00
WO130304-10,[36],374790.0,412620.0,"[[[374790.0,375315.0],[376230.0,376545.0],[380550.0,381075.0],[381990.0,382515.0],[383430.0,383955.0],[384870.0,385395.0],[386310.0,386625.0],[390630.0,391155.0],[392070.0,392595.0],[393510.0,394035.0],[394950.0,395475.0],[396390.0,396705.0],[400710.0,401235.0],[402150.0,402675.0],[403590.0,404115.0],[405030.0,405555.0],[406470.0,406785.0],[410790.0,411315.0],[412230.0,412620.0]]]",2025-05-15 06:30:00,2025-06-10 13:00:00
WO130305-20,[191],9173.0,9252.79,"[[[9173.0,9252.79]]]",2024-09-03 08:53:00,2024-09-03 10:12:47.4
WO130306-10,[173],48115.0,48145.0,"[[[48115.0,48145.0]]]",2024-09-30 09:55:00,2024-09-30 10:25:00
WO130307-10,[102],20565.0,20595.0,"[[[20565.0,20595.0]]]",2024-09-11 06:45:00,2024-09-11 07:15:00
WO130307-20,[98],48105.0,48135.0,"[[[48105.0,48135.0]]]",2024-09-30 09:45:00,2024-09-30 10:15:00
WO130308-10,[101],22462.0,22502.0,"[[[22462.0,22502.0]]]",2024-09-12 14:22:00,2024-09-12 15:02:00
WO130311-10,[106],109830.0,110310.0,"[[[109830.0,110310.0]]]",2024-11-12 06:30:00,2024-11-12 14:30:00
WO130312-10,[128],20550.0,20580.0,"[[[20550.0,20580.0]]]",2024-09-11 06:30:00,2024-09-11 07:00:00
WO130312-20,[98],48045.0,48105.0,"[[[48045.0,48105.0]]]",2024-09-30 08:45:00,2024-09-30 09:45:00
WO130313-10,[102],19620.0,20565.0,"[[[19620.0,19635.0],[20550.0,20565.0]]]",2024-09-10 15:00:00,2024-09-11 06:45:00
WO130313-20,[26],48025.0,48085.0,"[[[48025.0,48085.0]]]",2024-09-30 08:25:00,2024-09-30 09:25:00
WO130314-20,[26],48085.0,48115.0,"[[[48085.0,48115.0]]]",2024-09-30 09:25:00,2024-09-30 09:55:00
WO130315-10,[244],82944.0,82974.0,"[[[82944.0,82974.0]]]",2024-10-24 14:24:00,2024-10-24 14:54:00
WO130316-10,[244],78631.0,78661.0,"[[[78631.0,78661.0]]]",2024-10-21 14:31:00,2024-10-21 15:01:00
WO130317-10,[173],323322.0,323382.0,"[[[323322.0,323382.0]]]",2025-04-09 12:42:00,2025-04-09 13:42:00
WO130318-10,[173],334812.0,334842.0,"[[[334812.0,334842.0]]]",2025-04-17 12:12:00,2025-04-17 12:42:00
WO130321-10,[19],321510.0,323322.0,"[[[321510.0,322035.0],[322950.0,323322.0]]]",2025-04-08 06:30:00,2025-04-09 12:42:00
WO130322-10,[19],324390.0,334812.0,"[[[324390.0,324915.0],[325830.0,326145.0],[330150.0,330675.0],[331590.0,332115.0],[333030.0,333555.0],[334470.0,334812.0]]]",2025-04-10 06:30:00,2025-04-17 12:12:00
WO130323-10,[146],390.0,3470.0,"[[[390.0,915.0],[1830.0,2355.0],[3270.0,3470.0]]]",2024-08-28 06:30:00,2024-08-30 09:50:00
WO130324-10,[146],7590.0,12047.0,"[[[7590.0,8115.0],[9030.0,9555.0],[10470.0,10995.0],[11910.0,12047.0]]]",2024-09-02 06:30:00,2024-09-05 08:47:00
WO130328-10,[32],37830.0,41353.0,"[[[37830.0,38475.0],[39270.0,39915.0],[40710.0,41353.0]]]",2024-09-23 06:30:00,2024-09-25 17:13:00
WO130328-20,[93],94115.0,94295.0,"[[[94115.0,94295.0]]]",2024-11-01 08:35:00,2024-11-01 11:35:00
WO130329-10,[131],85350.0,91304.0,"[[[85350.0,85995.0],[88230.0,88875.0],[89670.0,90315.0],[91110.0,91304.0]]]",2024-10-26 06:30:00,2024-10-30 09:44:00
WO130329-20,[93],91470.0,91590.0,"[[[91470.0,91590.0]]]",2024-10-30 12:30:00,2024-10-30 14:30:00
WO130330-10,[243],102985.0,103271.0,"[[[102985.0,103271.0]]]",2024-11-07 12:25:00,2024-11-07 17:11:00
WO130331-10,[106],102945.0,102985.0,"[[[102945.0,102985.0]]]",2024-11-07 11:45:00,2024-11-07 12:25:00
WO130332-10,[128],19630.0,19750.0,"[[[19630.0,19750.0]]]",2024-09-10 15:10:00,2024-09-10 17:10:00
WO130335-10,[101],22432.0,22462.0,"[[[22432.0,22462.0]]]",2024-09-12 13:52:00,2024-09-12 14:22:00
WO130336-10,[173],22469.06,22499.06,"[[[22469.06,22499.06]]]",2024-09-12 14:29:03.6,2024-09-12 14:59:03.6
WO130337-10,[173],108555.0,108675.0,"[[[108555.0,108675.0]]]",2024-11-11 09:15:00,2024-11-11 11:15:00
WO130342-10,[106],104070.0,108555.0,"[[[104070.0,104385.0],[108390.0,108555.0]]]",2024-11-08 06:30:00,2024-11-11 09:15:00
WO130343-10,[173],108432.0,108462.0,"[[[108432.0,108462.0]]]",2024-11-11 07:12:00,2024-11-11 07:42:00
WO130344-10,[270],22459.94,22489.94,"[[[22459.94,22489.94]]]",2024-09-12 14:19:56.4,2024-09-12 14:49:56.4
WO130345-10,[173],23616.54,23646.54,"[[[23616.54,23646.54]]]",2024-09-13 09:36:32.4,2024-09-13 10:06:32.4
WO130346-10,[270],23660.0,23690.0,"[[[23660.0,23690.0]]]",2024-09-13 10:20:00,2024-09-13 10:50:00
WO130347-10,[101],121350.0,121470.0,"[[[121350.0,121470.0]]]",2024-11-20 06:30:00,2024-11-20 08:30:00
WO130352-10,[106],119910.0,120390.0,"[[[119910.0,120390.0]]]",2024-11-19 06:30:00,2024-11-19 14:30:00
WO130353-10,[173],100010.0,100040.0,"[[[100010.0,100040.0]]]",2024-11-05 10:50:00,2024-11-05 11:20:00
WO130354-10,[173],121350.0,121410.0,"[[[121350.0,121410.0]]]",2024-11-20 06:30:00,2024-11-20 07:30:00
WO130355-10,[173],120226.0,120256.0,"[[[120226.0,120256.0]]]",2024-11-19 11:46:00,2024-11-19 12:16:00
WO130356-10,[128],19550.0,19630.0,"[[[19550.0,19630.0]]]",2024-09-10 13:50:00,2024-09-10 15:10:00
WO130357-10,[30],49735.0,51071.88,"[[[49735.0,49875.0],[50790.0,51071.88]]]",2024-10-01 12:55:00,2024-10-02 11:11:52.8
WO130358-10,[106],102785.0,102945.0,"[[[102785.0,102945.0]]]",2024-11-07 09:05:00,2024-11-07 11:45:00
WO130358-20,[186],104070.0,108432.0,"[[[104070.0,104385.0],[108390.0,108432.0]]]",2024-11-08 06:30:00,2024-11-11 07:12:00
WO130359-10,[102],19550.0,19590.0,"[[[19550.0,19590.0]]]",2024-09-10 13:50:00,2024-09-10 14:30:00
WO130359-20,[98],47990.0,48045.0,"[[[47990.0,48045.0]]]",2024-09-30 07:50:00,2024-09-30 08:45:00
WO130360-10,[106],118575.0,118860.0,"[[[118575.0,118860.0]]]",2024-11-18 08:15:00,2024-11-18 13:00:00
WO130360-20,[191],119910.0,120385.0,"[[[119910.0,120385.0]]]",2024-11-19 06:30:00,2024-11-19 14:25:00
WO130363-10,[106],118860.0,118900.0,"[[[118860.0,118900.0]]]",2024-11-18 13:00:00,2024-11-18 13:40:00
WO130363-20,[70],119910.0,120166.0,"[[[119910.0,120166.0]]]",2024-11-19 06:30:00,2024-11-19 10:46:00
WO130363-30,[114],120166.0,120196.0,"[[[120166.0,120196.0]]]",2024-11-19 10:46:00,2024-11-19 11:16:00
WO130363-40,[114],120196.0,120226.0,"[[[120196.0,120226.0]]]",2024-11-19 11:16:00,2024-11-19 11:46:00
WO130364-10,[102],20815.0,20845.0,"[[[20815.0,20845.0]]]",2024-09-11 10:55:00,2024-09-11 11:25:00
WO130364-20,[26],48269.0,49372.0,"[[[48269.0,48435.0],[49350.0,49372.0]]]",2024-09-30 12:29:00,2024-10-01 06:52:00
WO130365-10,[102],20845.0,20875.0,"[[[20845.0,20875.0]]]",2024-09-11 11:25:00,2024-09-11 11:55:00
WO130365-20,[98],48294.0,48334.0,"[[[48294.0,48334.0]]]",2024-09-30 12:54:00,2024-09-30 13:34:00
WO130366-10,[225],21990.0,22314.0,"[[[21990.0,22314.0]]]",2024-09-12 06:30:00,2024-09-12 11:54:00
WO130366-20,[93],99890.0,99970.0,"[[[99890.0,99970.0]]]",2024-11-05 08:50:00,2024-11-05 10:10:00
WO130367-10,[78],47910.0,49519.0,"[[[47910.0,48435.0],[49350.0,49519.0]]]",2024-09-30 06:30:00,2024-10-01 09:19:00
WO130368-10,[128],20800.0,20880.0,"[[[20800.0,20880.0]]]",2024-09-11 10:40:00,2024-09-11 12:00:00
WO130371-20,[67],22410.0,23724.0,"[[[22410.0,22515.0],[23430.0,23724.0]]]",2024-09-12 13:30:00,2024-09-13 11:24:00
WO130372-10,[51],20915.0,21068.0,"[[[20915.0,21068.0]]]",2024-09-11 12:35:00,2024-09-11 15:08:00
WO130372-20,[93],99970.0,100010.0,"[[[99970.0,100010.0]]]",2024-11-05 10:10:00,2024-11-05 10:50:00
WO130373-10,[102],20875.0,20915.0,"[[[20875.0,20915.0]]]",2024-09-11 11:55:00,2024-09-11 12:35:00
WO130375-10,[173],100205.0,100265.0,"[[[100205.0,100265.0]]]",2024-11-05 14:05:00,2024-11-05 15:05:00
WO130376-20,[77],390.0,1879.0,"[[[390.0,915.0],[1830.0,1879.0]]]",2024-08-28 06:30:00,2024-08-29 07:19:00
WO130377-10,[106],100025.0,100085.0,"[[[100025.0,100085.0]]]",2024-11-05 11:05:00,2024-11-05 12:05:00
WO130377-20,[191],100085.0,100205.0,"[[[100085.0,100205.0]]]",2024-11-05 12:05:00,2024-11-05 14:05:00
WO130378-10,[103],81039.0,81549.0,"[[[81039.0,81549.0]]]",2024-10-23 06:39:00,2024-10-23 15:09:00
WO130379-10,[102],19170.0,19200.0,"[[[19170.0,19200.0]]]",2024-09-10 07:30:00,2024-09-10 08:00:00
WO130379-20,[75],19200.0,19454.0,"[[[19200.0,19454.0]]]",2024-09-10 08:00:00,2024-09-10 12:14:00
WO130383-10,[102],19140.0,19170.0,"[[[19140.0,19170.0]]]",2024-09-10 07:00:00,2024-09-10 07:30:00
WO130383-20,[77],19170.0,19542.0,"[[[19170.0,19542.0]]]",2024-09-10 07:30:00,2024-09-10 13:42:00
WO130384-10,[173],23460.0,23489.9,"[[[23460.0,23489.9]]]",2024-09-13 07:00:00,2024-09-13 07:29:54
WO130385-10,[101],103105.0,103135.0,"[[[103105.0,103135.0]]]",2024-11-07 14:25:00,2024-11-07 14:55:00
WO130386-10,[101],23665.0,23695.0,"[[[23665.0,23695.0]]]",2024-09-13 10:25:00,2024-09-13 10:55:00
WO130387-10,[173],23586.54,23616.54,"[[[23586.54,23616.54]]]",2024-09-13 09:06:32.4,2024-09-13 09:36:32.4
WO130388-20,[68],22186.0,22506.0,"[[[22186.0,22506.0]]]",2024-09-12 09:46:00,2024-09-12 15:06:00
WO130389-10,[102],19590.0,19620.0,"[[[19590.0,19620.0]]]",2024-09-10 14:30:00,2024-09-10 15:00:00
WO130389-20,[187],32393.0,32573.0,"[[[32393.0,32573.0]]]",2024-09-19 11:53:00,2024-09-19 14:53:00
WO130390-10,[106],102985.0,103105.0,"[[[102985.0,103105.0]]]",2024-11-07 12:25:00,2024-11-07 14:25:00
WO130391-10,[173],23556.8,23586.54,"[[[23556.8,23586.54]]]",2024-09-13 08:36:48,2024-09-13 09:06:32.4
WO130392-10,[101],23460.0,23490.0,"[[[23460.0,23490.0]]]",2024-09-13 07:00:00,2024-09-13 07:30:00
WO130395-10,[173],108793.0,108823.0,"[[[108793.0,108823.0]]]",2024-11-11 13:13:00,2024-11-11 13:43:00
WO130396-10,[19],320169.0,320502.0,"[[[320169.0,320502.0]]]",2025-04-07 08:09:00,2025-04-07 13:42:00
WO130396-20,[161],320700.0,322332.0,"[[[320700.0,321420.0],[322140.0,322332.0]]]",2025-04-07 17:00:00,2025-04-08 20:12:00
WO130396-30,[93],322950.0,322980.0,"[[[322950.0,322980.0]]]",2025-04-09 06:30:00,2025-04-09 07:00:00
WO130397-10,[36],341695.0,342028.0,"[[[341695.0,342028.0]]]",2025-04-22 06:55:00,2025-04-22 12:28:00
WO130397-20,[161],342300.0,343932.0,"[[[342300.0,343020.0],[343740.0,343932.0]]]",2025-04-22 17:00:00,2025-04-23 20:12:00
WO130397-30,[93],344550.0,344580.0,"[[[344550.0,344580.0]]]",2025-04-24 06:30:00,2025-04-24 07:00:00
WO130398-10,[270],23630.0,23660.0,"[[[23630.0,23660.0]]]",2024-09-13 09:50:00,2024-09-13 10:20:00
WO130400-10,[23],104070.0,108491.0,"[[[104070.0,104385.0],[108390.0,108491.0]]]",2024-11-08 06:30:00,2024-11-11 08:11:00
WO130401-10,[159],103121.0,108793.0,"[[[103121.0,103155.0],[104070.0,104385.0],[108390.0,108793.0]]]",2024-11-07 14:41:00,2024-11-11 13:13:00
WO130402-10,[159],81061.44,81533.44,"[[[81061.44,81533.44]]]",2024-10-23 07:01:26.4,2024-10-23 14:53:26.4
WO130403-10,[23],102785.0,102999.0,"[[[102785.0,102999.0]]]",2024-11-07 09:05:00,2024-11-07 12:39:00
WO130404-10,[103],82470.0,82964.0,"[[[82470.0,82964.0]]]",2024-10-24 06:30:00,2024-10-24 14:44:00
