task_uid,assigned_resource_ids,task_start,task_end,resource_intervals,planned_task_start,planned_task_end
WO128650-10,[106],39270.0,39510.0,"[[[39270.0,39510.0]]]",2024-09-24 06:30:00,2024-09-24 10:30:00
WO128659-10,[106],38015.0,38300.0,"[[[38015.0,38300.0]]]",2024-09-23 09:35:00,2024-09-23 14:20:00
WO128659-20,[271],38338.0,39728.0,"[[[38338.0,38355.0],[39270.0,39728.0]]]",2024-09-23 14:58:00,2024-09-24 14:08:00
WO128681-10,[101],12135.0,12165.0,"[[[12135.0,12165.0]]]",2024-09-05 10:15:00,2024-09-05 10:45:00
WO128682-10,[101],12262.87,12292.87,"[[[12262.87,12292.87]]]",2024-09-05 12:22:52.2,2024-09-05 12:52:52.2
WO128695-10,[36],123313.0,134595.0,"[[[123313.0,123315.0],[124230.0,124545.0],[128550.0,129075.0],[129990.0,130515.0],[131430.0,131955.0],[132870.0,133395.0],[134310.0,134595.0]]]",2024-11-21 15:13:00,2024-11-29 11:15:00
WO128696-10,[190],57990.0,78398.0,"[[[57990.0,58635.0],[59430.0,60075.0],[60870.0,61515.0],[62310.0,62955.0],[63750.0,64395.0],[65190.0,65835.0],[68070.0,68457.0],[69510.0,69897.0],[70950.0,71337.0],[72390.0,72777.0],[73830.0,74217.0],[75270.0,75657.0],[78150.0,78398.0]]]",2024-10-07 06:30:00,2024-10-21 10:38:00
WO128696-20,[113],78780.0,80435.0,"[[[78780.0,79500.0],[80220.0,80435.0]]]",2024-10-21 17:00:00,2024-10-22 20:35:00
WO128700-10,[113],48540.0,53110.0,"[[[48540.0,49260.0],[49980.0,50700.0],[51420.0,52140.0],[52860.0,53110.0]]]",2024-09-30 17:00:00,2024-10-03 21:10:00
WO128700-20,[114],53110.0,53140.0,"[[[53110.0,53140.0]]]",2024-10-03 21:10:00,2024-10-03 21:40:00
WO128700-30,[114],53140.0,53170.0,"[[[53140.0,53170.0]]]",2024-10-03 21:40:00,2024-10-03 22:10:00
WO128700-40,[73],53670.0,55590.0,"[[[53670.0,53970.0],[54990.0,55590.0]]]",2024-10-04 06:30:00,2024-10-05 14:30:00
WO128702-10,[106],33510.0,37935.0,"[[[33510.0,33825.0],[37830.0,37935.0]]]",2024-09-20 06:30:00,2024-09-23 08:15:00
WO128702-20,[15],40710.0,42255.0,"[[[40710.0,41235.0],[42150.0,42255.0]]]",2024-09-25 06:30:00,2024-09-26 08:15:00
WO128702-30,[30],42255.0,42570.0,"[[[42255.0,42570.0]]]",2024-09-26 08:15:00,2024-09-26 13:30:00
WO128713-10,[73],3270.0,4650.0,"[[[3270.0,3570.0],[4590.0,4650.0]]]",2024-08-30 06:30:00,2024-08-31 05:30:00
WO128714-10,[159],40785.0,41112.0,"[[[40785.0,41112.0]]]",2024-09-25 07:45:00,2024-09-25 13:12:00
WO128714-20,[187],41112.0,41172.0,"[[[41112.0,41172.0]]]",2024-09-25 13:12:00,2024-09-25 14:12:00
